alpha,beta,wer,cer,predictions_csv
0.01,0.0,11.07,3.77,outputs/task6_rescoring/beam_rescore_a_0_01_b_0_0.csv
0.01,0.5,11.02,3.75,outputs/task6_rescoring/beam_rescore_a_0_01_b_0_5.csv
0.01,1.0,11.10,3.76,outputs/task6_rescoring/beam_rescore_a_0_01_b_1_0.csv
0.05,0.0,11.07,3.77,outputs/task6_rescoring/beam_rescore_a_0_05_b_0_0.csv
0.05,0.5,11.02,3.75,outputs/task6_rescoring/beam_rescore_a_0_05_b_0_5.csv
0.05,1.0,11.10,3.76,outputs/task6_rescoring/beam_rescore_a_0_05_b_1_0.csv
0.1,0.0,11.07,3.77,outputs/task6_rescoring/beam_rescore_a_0_1_b_0_0.csv
0.1,0.5,11.00,3.75,outputs/task6_rescoring/beam_rescore_a_0_1_b_0_5.csv
0.1,1.0,11.10,3.76,outputs/task6_rescoring/beam_rescore_a_0_1_b_1_0.csv
0.5,0.0,11.34,3.80,outputs/task6_rescoring/beam_rescore_a_0_5_b_0_0.csv
0.5,0.5,11.07,3.77,outputs/task6_rescoring/beam_rescore_a_0_5_b_0_5.csv
0.5,1.0,11.05,3.76,outputs/task6_rescoring/beam_rescore_a_0_5_b_1_0.csv
