alpha,beta,wer,cer,predictions_csv
0.01,0.0,11.07,3.77,outputs/task4_shallow_fusion/beam_lm_a_0_01_b_0_0.csv
0.01,0.5,11.05,3.76,outputs/task4_shallow_fusion/beam_lm_a_0_01_b_0_5.csv
0.01,1.0,11.22,3.79,outputs/task4_shallow_fusion/beam_lm_a_0_01_b_1_0.csv
0.05,0.0,11.02,3.76,outputs/task4_shallow_fusion/beam_lm_a_0_05_b_0_0.csv
0.05,0.5,11.02,3.75,outputs/task4_shallow_fusion/beam_lm_a_0_05_b_0_5.csv
0.05,1.0,11.24,3.78,outputs/task4_shallow_fusion/beam_lm_a_0_05_b_1_0.csv
0.1,0.0,11.07,3.77,outputs/task4_shallow_fusion/beam_lm_a_0_1_b_0_0.csv
0.1,0.5,11.00,3.75,outputs/task4_shallow_fusion/beam_lm_a_0_1_b_0_5.csv
0.1,1.0,11.07,3.75,outputs/task4_shallow_fusion/beam_lm_a_0_1_b_1_0.csv
0.5,0.0,11.44,3.82,outputs/task4_shallow_fusion/beam_lm_a_0_5_b_0_0.csv
0.5,0.5,11.15,3.78,outputs/task4_shallow_fusion/beam_lm_a_0_5_b_0_5.csv
0.5,1.0,11.05,3.75,outputs/task4_shallow_fusion/beam_lm_a_0_5_b_1_0.csv
